category,guidance,practical_effect
Problem Seen in Current PDFs,"The current polarity files use fixed role templates that repeat with only slight scenario swapping. That makes Mm sound like Mm in the same sentence rhythm every time, and the same goes for MS, Fa, Fr, and Dr.",Users feel the pattern before they feel the psychology.
Rule 1,"Do not let one role always sound like one sentence shape. Rotate among observational, decisive, relational, sensory, restrained, and interior-dialogue cadences.","Breaks the “same role, same music” problem."
Rule 2,"Anchor each answer in what happens first internally, not what the label is supposed to sound like.",Creates believable nervous-system responses.
Rule 3,"Keep all five answers distinct inside the same question by varying the center of gravity: control, sensing, waiting, scanning, or strain.",Makes answer sets easier to score and easier for users to self-recognize.
Rule 4,"Use role seeds as scoring anchors, not as writing cages.","An MS answer can still sound warm, practical, playful, or embodied depending on the scene."
Rule 5,Avoid repeated openers and repeated certainty words.,Reduces templated voice and improves realism.
Voice guide - MS,"Grounded, concise, directional, but not robotic. Prioritizes function, pace, and clarity without sounding emotionally dead.","Best verbs: steady, orient, simplify, commit, carry, hold."
Voice guide - Mm,"Adaptive, observant, option-aware, socially intelligent. Should sound fluid, not slippery.","Best verbs: test, map, track, shape, adjust, read."
Voice guide - Fa,"Relationally tuned, emotionally literate, responsive to texture. Should sound embodied, not fragile.","Best verbs: register, feel, sense, soften, attune, calibrate."
Voice guide - Fr,"Open, settled, present, receptive. Should sound grounded and spacious, not passive or blank.","Best verbs: allow, receive, let, settle, trust, rest."
Voice guide - Dr,"Pulled off-center, uncertain, self-protective, over-adaptive or internally split.","Best verbs: second-guess, scan, brace, adjust, shrink, overcorrect."
