question_id,question_number_int,phase,question_weight_v3,dimension_primary,dimension_secondary,answer_count,available_letters,answer_ids
Q001,1,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q01_A|Q01_B|Q01_C|Q01_D|Q01_E
Q002,2,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q02_A|Q02_B|Q02_C|Q02_D|Q02_E
Q003,3,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q03_A|Q03_B|Q03_C|Q03_D|Q03_E
Q004,4,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q04_A|Q04_B|Q04_C|Q04_D|Q04_E
Q005,5,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q05_A|Q05_B|Q05_C|Q05_D|Q05_E
Q006,6,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q06_A|Q06_B|Q06_C|Q06_D|Q06_E
Q007,7,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q07_A|Q07_B|Q07_C|Q07_D|Q07_E
Q008,8,Core,1.0,CommunicationHealth,EmotionalNeeds,5,ABCDE,Q08_A|Q08_B|Q08_C|Q08_D|Q08_E
Q009,9,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q09_A|Q09_B|Q09_C|Q09_D|Q09_E
Q010,10,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q10_A|Q10_B|Q10_C|Q10_D|Q10_E
Q011,11,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q11_A|Q11_B|Q11_C|Q11_D|Q11_E
Q012,12,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q12_A|Q12_B|Q12_C|Q12_D|Q12_E
Q013,13,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q13_A|Q13_B|Q13_C|Q13_D|Q13_E
Q014,14,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q14_A|Q14_B|Q14_C|Q14_D|Q14_E
Q015,15,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q15_A|Q15_B|Q15_C|Q15_D|Q15_E
Q016,16,Core,1.05,ConflictRepair,CommunicationHealth,5,ABCDE,Q16_A|Q16_B|Q16_C|Q16_D|Q16_E
Q017,17,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q17_A|Q17_B|Q17_C|Q17_D|Q17_E
Q018,18,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q18_A|Q18_B|Q18_C|Q18_D|Q18_E
Q019,19,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q19_A|Q19_B|Q19_C|Q19_D|Q19_E
Q020,20,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q20_A|Q20_B|Q20_C|Q20_D|Q20_E
Q021,21,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q21_A|Q21_B|Q21_C|Q21_D|Q21_E
Q022,22,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q22_A|Q22_B|Q22_C|Q22_D|Q22_E
Q023,23,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q23_A|Q23_B|Q23_C|Q23_D|Q23_E
Q024,24,Core,1.1,EmotionalRegulation,AttachmentSafety,5,ABCDE,Q24_A|Q24_B|Q24_C|Q24_D|Q24_E
Q025,25,Core,1.1,ValuesLifestyle,IntentAlignment,5,ABCDE,Q25_A|Q25_B|Q25_C|Q25_D|Q25_E
Q026,26,Core,1.1,ValuesLifestyle,IntentAlignment,5,ABCDE,Q26_A|Q26_B|Q26_C|Q26_D|Q26_E
Q027,27,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q27_A|Q27_B|Q27_C|Q27_D|Q27_E
Q028,28,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q28_A|Q28_B|Q28_C|Q28_D|Q28_E
Q029,29,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q29_A|Q29_B|Q29_C|Q29_D|Q29_E
Q030,30,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q30_A|Q30_B|Q30_C|Q30_D|Q30_E
Q031,31,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q31_A|Q31_B|Q31_C|Q31_D|Q31_E
Q032,32,Core,1.15,ValuesLifestyle,IntentAlignment,5,ABCDE,Q32_A|Q32_B|Q32_C|Q32_D|Q32_E
Q033,33,Core,1.15,CommitmentPace,IntentAlignment,5,ABCDE,Q33_A|Q33_B|Q33_C|Q33_D|Q33_E
Q034,34,Core,1.15,CommitmentPace,IntentAlignment,5,ABCDE,Q34_A|Q34_B|Q34_C|Q34_D|Q34_E
Q035,35,Core,1.15,CommitmentPace,IntentAlignment,5,ABCDE,Q35_A|Q35_B|Q35_C|Q35_D|Q35_E
Q036,36,Core,1.15,CommitmentPace,IntentAlignment,5,ABCDE,Q36_A|Q36_B|Q36_C|Q36_D|Q36_E
Q037,37,Core,1.2,CommitmentPace,IntentAlignment,5,ABCDE,Q37_A|Q37_B|Q37_C|Q37_D|Q37_E
Q038,38,Core,1.2,CommitmentPace,IntentAlignment,5,ABCDE,Q38_A|Q38_B|Q38_C|Q38_D|Q38_E
Q039,39,Core,1.2,CommitmentPace,IntentAlignment,5,ABCDE,Q39_A|Q39_B|Q39_C|Q39_D|Q39_E
Q040,40,Core,1.2,CommitmentPace,IntentAlignment,5,ABCDE,Q40_A|Q40_B|Q40_C|Q40_D|Q40_E
Q041,41,Core,1.3,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q41_A|Q41_B|Q41_C|Q41_D|Q41_E
Q042,42,Core,1.3,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q42_A|Q42_B|Q42_C|Q42_D|Q42_E
Q043,43,Core,1.3,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q43_A|Q43_B|Q43_C|Q43_D|Q43_E
Q044,44,Core,1.3,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q44_A|Q44_B|Q44_C|Q44_D|Q44_E
Q045,45,Core,1.35,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q45_A|Q45_B|Q45_C|Q45_D|Q45_E
Q046,46,Core,1.35,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q46_A|Q46_B|Q46_C|Q46_D|Q46_E
Q047,47,Core,1.35,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q47_A|Q47_B|Q47_C|Q47_D|Q47_E
Q048,48,Core,1.35,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q48_A|Q48_B|Q48_C|Q48_D|Q48_E
Q049,49,Core,1.4,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q49_A|Q49_B|Q49_C|Q49_D|Q49_E
Q050,50,Core,1.4,EmotionalNeeds,IntimacyThreshold,5,ABCDE,Q50_A|Q50_B|Q50_C|Q50_D|Q50_E
Q100,100,Shadow,1.3,ShadowPattern,IntegrityRisk,6,ABCDEF,Q51_A|Q51_B|Q51_C|Q51_D|Q51_E|Q51_F
Q101,101,Shadow,1.3,ShadowPattern,IntegrityRisk,6,ABCDEF,Q52_A|Q52_B|Q52_C|Q52_D|Q52_E|Q52_F
Q102,102,Shadow,1.3,ShadowPattern,IntegrityRisk,6,ABCDEF,Q53_A|Q53_B|Q53_C|Q53_D|Q53_E|Q53_F
Q103,103,Shadow,1.3,ShadowPattern,IntegrityRisk,6,ABCDEF,Q54_A|Q54_B|Q54_C|Q54_D|Q54_E|Q54_F
Q104,104,Shadow,1.35,ShadowPattern,IntegrityRisk,6,ABCDEF,Q55_A|Q55_B|Q55_C|Q55_D|Q55_E|Q55_F
Q105,105,Shadow,1.35,ShadowPattern,IntegrityRisk,6,ABCDEF,Q56_A|Q56_B|Q56_C|Q56_D|Q56_E|Q56_F
Q106,106,Shadow,1.35,ShadowPattern,IntegrityRisk,6,ABCDEF,Q57_A|Q57_B|Q57_C|Q57_D|Q57_E|Q57_F
Q107,107,Shadow,1.35,ShadowPattern,IntegrityRisk,6,ABCDEF,Q58_A|Q58_B|Q58_C|Q58_D|Q58_E|Q58_F
Q108,108,Shadow,1.4,ShadowPattern,IntegrityRisk,6,ABCDEF,Q59_A|Q59_B|Q59_C|Q59_D|Q59_E|Q59_F
Q109,109,Shadow,1.4,ShadowPattern,IntegrityRisk,6,ABCDEF,Q60_A|Q60_B|Q60_C|Q60_D|Q60_E|Q60_F
