answer_id,qa_key,question_number_int,phase,question_weight_v3,dimension_primary,dimension_secondary,answer_letter,answer_text,archetype,shadow_type,comm_health_norm,reg_health_norm,love_relational_norm,readiness_norm,pacing_norm,attachment_risk_norm,centered_polarity_norm,reciprocity_signal_norm,integrity_penalty_norm,cluster_penalty_norm,pattern_risk_norm,forecast_norm,pos_agg,chem_agg,risk_agg,risk_band,pos_band,chem_band,access_style_label_v8,conflict_style_label_v8,repair_style_label_v8,attachment_style_label_v8,nervous_system_bias_label_v8,selection_gap_flag_v8
Q01_A,001_A,1,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"It's probably nothing. I just shift into neutral and let it play out. If they bring it up, cool. If not, I'm not pushing it.",Icebox,,0.36,0.28,0.76,0.0,0.3374285714285714,0.2974342857142858,0.6875,0.3728,0.0,0.7857142857142857,0.0,0.0,0.3285088253968254,0.4506643400000001,0.2166297142857143,Low,Very Low,Low,Guarded,Avoidant,Suppress,Rush-risk,Calm-seeking,Low
Q01_B,001_B,1,Core,1.0,CommunicationHealth,EmotionalNeeds,B,I start rereading everything. The tone in a text. A pause that felt a little too long. I like turning it into a puzzle to solve.,Analyzer,,0.68,0.74,0.72,0.4,0.6291428571428571,0.1671234285714286,0.5,0.6547999999999999,0.0,0.4285714285714285,0.0,0.4,0.6344312761904762,0.5426605440000001,0.1191389714285714,Low,Medium,Low,Measured,Logical,Re-engage,Mixed,Calm-seeking,Low
Q01_C,001_C,1,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I'll bring something up, but I usually wrap it in a joke or a side comment. I'd rather ease into it than make it feel too serious.",Translator,,0.56,0.92,0.74,0.6,0.814,0.06447200000000002,0.5,0.7330666666666665,0.0,0.0,0.0,0.8,0.7595750433862434,0.6020747839999999,0.0128944,Low,High,Medium,Measured,Indirect,Co-repair,Slow-build,Calm-seeking,Low
Q01_D,001_D,1,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I usually wait. Not to avoid it, just to feel it out first. I've learned not everything needs a reaction, but if it lingers, I'll say something.",Survivor,,0.74,0.74,0.72,0.8,0.7919999999999999,0.1729653333333334,0.4374999999999999,0.7464,0.0,0.0,0.3333333333333333,0.6,0.7821795301587301,0.5864394706666666,0.1012597333333333,Low,High,Medium,Open,Emotional,Co-repair,Slow-build,Calm-seeking,Low
Q01_E,001_E,1,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"I don't do weird energy. I'm not unkind, but I also don't pretend. If something's off, I'm not sitting in it quietly.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.01956800000000002,0.1875,0.8961333333333332,0.0,0.0,0.0,1.0,0.9408699724867723,0.539364596,0.003913600000000004,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q02_A,002_A,2,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"Not surprised. I usually go quieter after that. I've seen this play out before, no point chasing clarity where it's not offered.",Quiet Exit,,0.36,0.28,0.76,0.0,0.2840952380952381,0.4536120634920636,0.625,0.4105777777777778,0.0,0.7857142857142857,0.4444444444444445,0.0,0.3561110828924162,0.5093538622222222,0.3367541587301588,Medium,Very Low,Low,Guarded,Avoidant,Suppress,Rush-risk,Mixed,Low
Q02_B,002_B,2,Core,1.0,CommunicationHealth,EmotionalNeeds,B,"I'll play along, but it definitely changes how I see them. I keep score, even if they never know it.",Performer,,0.56,0.48,0.62,0.0,0.222,0.5655066666666667,0.9375,0.3897333333333334,0.0,1.0,0.6666666666666666,0.0,0.3646658201058202,0.5916083133333334,0.4464346666666666,Medium,Very Low,Medium,Selective,Indirect,Delay,Rush-risk,Mixed,Low
Q02_C,002_C,2,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I bring it up again, but this time they can probably hear the shift in my tone. I'm not trying to argue, I just need them to actually hear me.",Fixer,,0.74,0.92,0.72,0.8,0.8599999999999999,0.04658400000000001,0.4374999999999999,0.7946666666666666,0.0,0.0,0.0,0.8,0.8324360338624338,0.5899781479999999,0.009316800000000002,Low,High,Medium,Open,Emotional,Co-repair,Slow-build,Calm-seeking,Low
Q02_D,002_D,2,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I laugh too, but it sticks with me. Hours later I'm still replaying what I said, wondering if I should've just kept quiet.",Phantom Seeker,,0.74,0.74,0.7,0.2,0.5294285714285715,0.1649702857142857,0.625,0.5885333333333332,0.0,0.2857142857142857,0.0,0.2,0.5585754582010583,0.542375832,0.09013691428571428,Low,Medium,Low,Selective,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q02_E,002_E,2,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"I clock that fast. If I opened up and they shrugged it off, I don't ask again. I don't mind being the bad guy if it means protecting my peace.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.01956800000000002,0.1875,0.8961333333333332,0.0,0.0,0.0,1.0,0.9408699724867723,0.539364596,0.003913600000000004,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q03_A,003_A,3,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"I pull back a little. Not to play games, I just need space to check if I'm seeing it clearly before I lean in.",Icebox,,0.36,0.28,0.76,0.2,0.4666666666666666,0.2386471111111111,0.6875,0.4965777777777778,0.0,0.0,0.2777777777777778,0.0,0.4505737368606702,0.6015103808888889,0.1032849777777778,Low,Low,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
Q03_B,003_B,3,Core,1.0,CommunicationHealth,EmotionalNeeds,B,"I start imagining what it could be. I try not to get ahead of myself, I just like feeling what it can be.",Romantic Idealist,,0.74,0.48,0.62,0.4,0.5986666666666667,0.2233164444444445,0.7499999999999999,0.6449777777777778,0.0,0.5,0.1111111111111111,0.4,0.621881660670194,0.6910171395555555,0.1668855111111111,Low,Medium,Medium,Measured,Emotional,Re-engage,Mixed,Mixed,Low
Q03_C,003_C,3,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I don't say much, but I start showing up more, checking in, remembering little things. That's usually how I start showing my interest.",Analyzer,,0.68,0.74,0.72,0.8,0.8599999999999999,0.05128800000000001,0.5,0.8001333333333333,0.0,0.0,0.0,0.8,0.8155911153439154,0.6491039359999999,0.0102576,Low,High,Medium,Measured,Logical,Co-repair,Slow-build,Calm-seeking,Low
Q03_D,003_D,3,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I want them to like me back, but I need to know it's safe first. So I keep it light while I wait on their actions.",Phantom Seeker,,0.74,0.74,0.7,0.4,0.52,0.192656,0.625,0.6245333333333333,0.0,0.5,0.0,0.2,0.5971046010582011,0.544400632,0.1385312,Low,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q03_E,003_E,3,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"If I like someone, yeah, it shows. But I've learned not to lean too far until I know they're showing up too. I'm not trying to guess where I stand.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.9606666666666667,0.05921244444444446,0.1875,0.8872444444444444,0.0,0.0,0.1111111111111111,1.0,0.9382428119929452,0.5382545515555556,0.03406471111111111,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q04_A,004_A,4,Core,1.0,CommunicationHealth,EmotionalNeeds,A,I keep watching. I've learned not to bring things up too early. People need time to reveal themselves.,Analyzer,,0.68,0.74,0.72,0.6,0.6679999999999999,0.3127546666666667,0.5,0.6741333333333334,0.0,0.0,0.6666666666666666,0.6,0.7111229248677249,0.5845828693333333,0.1958842666666666,Low,High,Medium,Measured,Logical,Re-engage,Slow-build,Calm-seeking,Low
Q04_B,004_B,4,Core,1.0,CommunicationHealth,EmotionalNeeds,B,I ignore it at first. I don't want to ruin a good thing by overthinking. Sometimes I just want it to stay good for a little while.,Romantic Idealist,,0.74,0.48,0.62,0.2,0.4102857142857143,0.3115081904761905,0.7499999999999999,0.5178666666666667,0.0,0.3571428571428572,0.3333333333333333,0.0,0.4894482497354498,0.5741477706666667,0.2003968761904762,Low,Low,Medium,Selective,Emotional,Delay,Mixed,Mixed,Low
