row_label,analyzer,fixer,icebox,performer,phantom_seeker,quiet_exit,regulated_grown_up,romantic_idealist,survivor,translator
Analyzer,0.84,0.8,0.55,0.67,0.67,0.61,0.79,0.67,0.67,0.78
Fixer,0.8,0.84,0.61,0.67,0.67,0.5,0.8,0.67,0.56,0.8
Icebox,0.55,0.61,0.34,0.43,0.28,0.38,0.61,0.43,0.43,0.61
Performer,0.67,0.67,0.43,0.49,0.52,0.43,0.61,0.51,0.52,0.67
Phantom Seeker,0.67,0.67,0.28,0.52,0.49,0.33,0.67,0.52,0.52,0.67
Quiet Exit,0.61,0.5,0.38,0.43,0.33,0.34,0.61,0.43,0.43,0.61
Regulated Grown-Up,0.79,0.8,0.61,0.61,0.67,0.61,0.84,0.72,0.67,0.86
Romantic Idealist,0.67,0.67,0.43,0.51,0.52,0.43,0.72,0.49,0.52,0.67
Survivor,0.67,0.56,0.43,0.52,0.52,0.43,0.67,0.52,0.49,0.64
Translator,0.78,0.8,0.61,0.67,0.67,0.61,0.86,0.67,0.64,0.84
